,CustomerID,Name,City,JoinDate,TransactionID,Date,Amount
64,C65,Ayesha,Islamabad,2019-05-21,T065,2023-01-20,17500
65,C66,Noman,Hyderabad,2022-10-19,T066,2022-04-15,6500
66,C67,Tania,Faisalabad,2021-01-28,T067,2023-03-28,12800
67,C68,Hassan,Rawalpindi,2020-06-12,T068,2022-12-10,15500
68,C69,Zain,Multan,2023-12-01,T069,2021-05-18,8500
69,C70,Sara,Peshawar,2018-10-05,T070,2023-05-02,4700
70,C71,Farhan,Sialkot,2022-08-08,T071,2022-09-25,5800
71,C72,Noor,Quetta,2021-04-14,T072,2023-06-15,14200
72,C73,Aisha,Gujranwala,2020-11-25,T073,2022-07-12,39500
73,C74,Hamza,Karachi,2023-07-20,T074,2023-05-30,9600
74,C75,Bilal,Lahore,2019-02-18,T075,2022-08-08,20500
75,C76,Mahnoor,Islamabad,2022-05-30,T076,2021-11-22,6900
76,C77,Yusuf,Hyderabad,2021-09-09,T077,2022-05-10,10800
77,C78,Kiran,Faisalabad,2020-01-22,T078,2023-02-25,17200
78,C79,Laiba,Rawalpindi,2023-04-28,T079,2023-04-02,8100
79,C80,Danish,Multan,2018-12-10,T080,2022-03-15,4300
80,C81,Sana,Peshawar,2022-03-15,T081,2023-03-10,5400
81,C82,Imran,Sialkot,2021-06-28,T082,2022-01-05,11900
82,C83,Arslan,Quetta,2020-07-05,T083,2021-03-20,36500
83,C84,Fatima,Gujranwala,2023-10-12,T084,2022-10-18,8200
84,C85,Waqar,Karachi,2019-03-08,T085,2023-02-05,18800
85,C86,Saad,Lahore,2022-12-18,T086,2022-12-28,7400
86,C87,Hina,Islamabad,2021-08-03,T087,2021-06-30,9900
87,C88,Fahad,Hyderabad,2020-04-25,T088,2022-06-22,14800
88,C89,Zara,Faisalabad,2023-01-15,T089,2023-01-12,7600
89,C90,Talha,Rawalpindi,2019-09-30,T090,2021-08-20,4600
90,C91,Anum,Multan,2022-06-05,T091,2022-11-05,5700
91,C92,Omar,Peshawar,2021-11-12,T092,2023-04-25,13700
92,C93,Maryam,Sialkot,2020-02-07,T093,2023-03-18,43500
93,C94,Iqra,Quetta,2023-05-18,T094,2021-09-15,7500
94,C95,Bushra,Gujranwala,2018-08-20,T095,2022-10-22,19800
95,C96,Saima,Karachi,2022-09-28,T096,2023-03-05,7700
96,C97,Usman,Lahore,2021-03-10,T097,2022-02-28,11200
97,C98,Ayesha,Islamabad,2020-10-15,T098,2021-04-10,12800
98,C99,Noman,Hyderabad,2023-07-02,T099,2022-05-20,8300
99,C100,Tania,Faisalabad,2019-06-14,T100,2023-04-15,4800
100,C101,Hassan,Rawalpindi,2022-01-05,T101,2021-12-12,6000
101,C102,Zain,Multan,2021-07-22,T102,2022-08-30,12900
102,C103,Sara,Peshawar,2020-05-09,T103,2022-04-05,41000
103,C104,Farhan,Sialkot,2023-09-20,T104,2023-06-10,8900
104,C105,Noor,Quetta,2022-04-03,T105,2021-07-18,21500
105,C106,Aisha,Gujranwala,2021-12-25,T106,2022-01-28,6600
106,C107,Hamza,Karachi,2020-08-18,T107,2023-07-02,13200
107,C108,Bilal,Lahore,2023-02-12,T108,2022-09-15,16200
108,C109,Mahnoor,Islamabad,2019-11-28,T109,2021-02-10,8700
109,C110,Yusuf,Hyderabad,2022-07-15,T110,2022-11-25,4200
110,C111,Kiran,Faisalabad,2021-02-20,T111,2023-05-12,5900
111,C112,Laiba,Rawalpindi,2020-09-05,T112,2021-10-08,10800
112,C113,Danish,Multan,2023-06-08,T113,2023-01-05,47000
113,C114,Sana,Peshawar,2018-04-30,T114,2022-03-22,8400
114,C115,Imran,Sialkot,2022-10-28,T115,2022-12-15,19200
115,C116,Arslan,Quetta,2021-05-17,T116,2021-08-05,7000
116,C117,Fatima,Gujranwala,2020-12-03,T117,2022-10-12,11900
117,C118,Waqar,Karachi,2023-03-22,T118,2023-05-18,18500
118,C119,Saad,Lahore,2019-07-10,T119,2023-06-20,7900
119,C120,Hina,Islamabad,2022-11-05,T120,2021-03-30,4400
120,C121,Fahad,Hyderabad,2021-01-18,T121,2022-07-08,6300
121,C122,Zara,Faisalabad,2020-06-25,T122,2023-03-12,14500
122,C123,Talha,Rawalpindi,2023-08-30,T123,2022-09-28,42500
123,C124,Anum,Multan,2019-10-12,T124,2021-11-10,8100
124,C125,Omar,Peshawar,2022-02-28,T125,2023-05-25,17800
125,C126,Maryam,Sialkot,2021-09-15,T126,2022-06-15,7300
126,C127,Iqra,Quetta,2020-03-08,T127,2021-12-20,10200
127,C128,Bushra,Gujranwala,2023-05-05,T128,2022-04-28,15200
128,C129,Saima,Karachi,2018-11-20,T129,2022-02-18,8400
129,C130,Usman,Lahore,2022-07-28,T130,2023-02-05,4900
130,C131,Ayesha,Islamabad,2021-04-10,T131,2021-05-15,5200
131,C132,Noman,Hyderabad,2020-01-25,T132,2022-06-05,12200
132,C133,Tania,Faisalabad,2023-10-18,T133,2021-06-22,35500
133,C134,Hassan,Rawalpindi,2019-05-15,T134,2022-08-12,9300
134,C135,Zain,Multan,2022-12-22,T135,2022-01-30,20200
135,C136,Sara,Peshawar,2021-08-08,T136,2023-04-20,6900
136,C137,Farhan,Sialkot,2020-10-30,T137,2022-08-25,12500
137,C138,Noor,Quetta,2023-01-12,T138,2021-01-15,13500
138,C139,Aisha,Gujranwala,2019-02-05,T139,2023-07-10,8000
139,C140,Hamza,Karachi,2022-06-20,T140,2022-05-28,4500
140,C141,Bilal,Lahore,2021-03-03,T141,2023-02-22,5600
141,C142,Mahnoor,Islamabad,2020-09-28,T142,2021-09-18,11500
142,C143,Yusuf,Hyderabad,2023-04-05,T143,2022-12-05,44500
143,C144,Kiran,Faisalabad,2018-12-15,T144,2023-02-15,8700
144,C145,Laiba,Rawalpindi,2022-05-12,T145,2021-10-10,18500
145,C146,Danish,Multan,2021-11-25,T146,2022-03-18,7100
146,C147,Sana,Peshawar,2020-07-18,T147,2023-01-08,11000
147,C148,Imran,Sialkot,2023-09-10,T148,2022-11-30,16800
148,C149,Arslan,Quetta,2022-01-30,T149,2021-04-25,8600
149,C150,Fatima,Gujranwala,2021-06-15,T150,2021-06-12,4700
150,C151,Waqar,Karachi,2020-04-20,T151,2022-10-20,6100
151,C152,Saad,Lahore,2023-07-25,T152,2023-01-25,13100
152,C153,Hina,Islamabad,2019-08-05,T153,2023-06-05,49000
153,C154,Fahad,Hyderabad,2022-10-08,T154,2022-05-08,9100
154,C155,Zara,Faisalabad,2021-02-15,T155,2022-07-22,19500
155,C156,Talha,Rawalpindi,2020-11-28,T156,2021-12-05,6800
156,C157,Anum,Multan,2023-03-18,T157,2022-04-15,11700
157,C158,Omar,Peshawar,2019-01-10,T158,2023-03-22,17500
158,C159,Maryam,Sialkot,2022-08-22,T159,2022-09-10,8100
159,C160,Iqra,Quetta,2021-05-05,T160,2023-05-15,5100
160,C161,Bushra,Gujranwala,2020-02-12,T161,2021-08-28,5800
161,C162,Saima,Karachi,2023-06-30,T162,2022-04-12,12600
162,C163,Usman,Lahore,2018-10-25,T163,2022-03-05,39000
163,C164,Ayesha,Islamabad,2022-04-18,T164,2021-07-20,8000
164,C165,Noman,Hyderabad,2021-10-02,T165,2023-06-08,20800
165,C166,Tania,Faisalabad,2020-05-28,T166,2022-09-25,7200
166,C167,Hassan,Rawalpindi,2023-11-15,T167,2021-03-10,10600
167,C168,Zain,Multan,2019-09-20,T168,2022-08-18,15800
168,C169,Sara,Peshawar,2022-03-08,T169,2023-02-28,7700
169,C170,Farhan,Sialkot,2021-07-12,T170,2022-01-15,4000
170,C171,Noor,Quetta,2020-12-05,T171,2023-04-05,6000
171,C172,Aisha,Gujranwala,2023-02-20,T172,2021-11-30,12000
172,C173,Hamza,Karachi,2019-04-15,T173,2021-12-18,46000
173,C174,Bilal,Lahore,2022-09-10,T174,2022-11-15,8500
174,C175,Mahnoor,Islamabad,2021-01-22,T175,2022-06-12,18800
175,C176,Yusuf,Hyderabad,2020-08-18,T176,2023-01-18,7500
176,C177,Kiran,Faisalabad,2023-05-28,T177,2022-12-25,12300
177,C178,Laiba,Rawalpindi,2019-06-05,T178,2021-09-05,14500
178,C179,Danish,Multan,2022-11-20,T179,2022-04-08,8300
179,C180,Sana,Peshawar,2021-04-28,T180,2023-03-30,4600
180,C181,Imran,Sialkot,2020-10-15,T181,2022-03-05,5500
181,C182,Arslan,Quetta,2023-08-05,T182,2023-07-05,13800
182,C183,Fatima,Gujranwala,2019-03-12,T183,2022-10-22,41500
183,C184,Waqar,Karachi,2022-07-18,T184,2023-05-12,9400
184,C185,Saad,Lahore,2021-12-10,T185,2021-05-28,21200
185,C186,Hina,Islamabad,2020-06-25,T186,2022-07-30,7000
186,C187,Fahad,Hyderabad,2023-09-15,T187,2023-04-22,12900
187,C188,Zara,Faisalabad,2018-11-30,T188,2022-02-15,16000
188,C189,Talha,Rawalpindi,2022-02-05,T189,2021-08-12,7900
189,C190,Anum,Multan,2021-08-28,T190,2021-10-25,4800
190,C191,Omar,Peshawar,2020-04-10,T191,2023-06-22,6200
191,C192,Maryam,Sialkot,2023-07-08,T192,2022-12-10,13400
192,C193,Iqra,Quetta,2019-12-20,T193,2023-05-28,47500
193,C194,Bushra,Gujranwala,2022-05-15,T194,2022-02-20,8300
194,C195,Saima,Karachi,2021-03-28,T195,2022-09-18,19900
195,C196,Usman,Lahore,2020-09-05,T196,2021-10-08,6900
196,C197,Ayesha,Islamabad,2023-01-18,T197,2022-06-05,11400
197,C198,Noman,Hyderabad,2019-07-25,T198,2023-04-30,18200
198,C199,Tania,Faisalabad,2022-10-22,T199,2023-01-28,8200
199,C200,Hassan,Rawalpindi,2021-06-12,T200,2022-08-05,4300
200,C201,Zain,Multan,2020-01-08,T201,2021-11-15,5900
201,C202,Sara,Peshawar,2023-04-30,T202,2023-02-08,14000
202,C203,Farhan,Sialkot,2019-10-18,T203,2022-08-20,43000
203,C204,Noor,Quetta,2022-12-28,T204,2021-12-30,8800
204,C205,Aisha,Gujranwala,2021-09-22,T205,2023-03-25,18500
205,C206,Hamza,Karachi,2020-05-10,T206,2022-11-12,7100
206,C207,Bilal,Lahore,2023-11-05,T207,2021-07-28,10800
207,C208,Mahnoor,Islamabad,2018-08-15,T208,2022-05-20,15500
208,C209,Yusuf,Hyderabad,2022-06-18,T209,2022-10-18,8000
209,C210,Kiran,Faisalabad,2021-12-30,T210,2023-06-05,4900
